Concentration,MFI_1,MFI_2,MFI_3,avg,sd,Mutant
0.1,59690.5,52070,60650,57470.16667,4701.224317,2P
0.3,93355.5,100917,108948,101073.5,7797.427989,2P
1,106365.5,118130.5,101312,108602.6667,8629.552224,2P
3,88910,98543.5,100495,95982.83333,6202.48471,2P
10,69258,72052,51039,64116.33333,11411.13905,2P
0.1,59156,35468,51194.5,48606.16667,12054.24979,2PQ
0.3,93067,85093,81411.5,86523.83333,5958.030974,2PQ
1,108967,126933.5,106401,114100.5,11187.51562,2PQ
3,91872.5,95989.5,88604,92155.33333,3700.864572,2PQ
10,67508.5,86677.5,70905,75030.33333,10228.70576,2PQ